Date;Type;Symbol;Name;Quantity;Price;Amount
2023/09/05;BUY;O;Realty Income Corporation;0,091201;55,85 US$;-5,09 US$
2023/09/05;BUY;MBG.DE;Mercedes-Benz Group AG        N;0,077879;66,64 US$;-5,19 US$
2023/09/05;BUY;AAPL;Apple Inc.;0,0344553;188,29 US$;-6,49 US$
2023/09/07;BUY;MSFT;Microsoft Corporation;0,019272;331,34 US$;-6,39 US$
2023/09/07;BUY;O;Realty Income Corporation;0,184475;55,14 US$;-10,17 US$
2023/09/07;BUY;MNST;Monster Beverage Corporation;0,081631;56,08 US$;-4,58 US$
2023/09/07;BUY;NVDA;NVIDIA Corporation;0,0176222;456,44 US$;-8,04 US$
2023/09/07;BUY;AAPL;Apple Inc.;0,0750594;176,56 US$;-13,25 US$
2023/09/07;BUY;MO;Altria Group, Inc.;0,213089;43,57 US$;-9,28 US$
2023/09/07;BUY;KO;Coca-Cola Company (The);0,188175;58,66 US$;-11,04 US$
2023/09/07;BUY;MBG.DE;Mercedes-Benz Group AG        N;0,158438;65,64 US$;-10,40 US$
2023/09/07;BUY;RACE;Ferrari N.V.;0,0203315;298,29 US$;-6,06 US$
2023/09/07;BUY;MCD;McDonald's Corporation;0,028166;277,98 US$;-7,83 US$
2023/09/07;BUY;AGNC;AGNC Investment Corp.;0,53369;9,64 US$;-5,14 US$
